
Age,Age_Group,Gender,Region,Household_Type,Occupation,IPTV_Provider,Subscription_Type,Digital_Literacy,OTT_Viewing_Ratio
37,35-44,Male,Other Urban,Single,Service Industry,Other,Individual,Medium,0.57
72,65+,Male,Other Urban,Single,Retired/Unemployed,LG U+,Triple-Play,Low,0.07
61,55-64,Female,Other Urban,Two-Person,Retired/Unemployed,KT,Family,Low,0.41
47,45-54,Female,Seoul,Single,Professional/Managerial,Other,Individual,High,0.89
23,18-24,Male,Other Urban,Single,Student,Other,Individual,High,0.72
21,18-24,Male,Seoul,Four-or-More,Office Worker,SKB,Triple-Play,High,0.34
7,5-12,Female,Other Urban,Four-or-More,Student,KT,Triple-Play,Low,0.41
85,65+,Male,Rural Areas,Four-or-More,Homemaker,KT,Triple-Play,Low,0.1
49,45-54,Male,Other Urban,Single,Service Industry,KT,Triple-Play,Low,0.54
61,55-64,Male,Rural Areas,Four-or-More,Service Industry,SKB,Family,Low,0.41
2,0-4,Female,Seoul,Single,Student,KT,Individual,Low,0.24
69,65+,Female,Other Urban,Two-Person,Homemaker,SKB,Individual,Low,0.24
75,65+,Female,Other Urban,Three-Person,Homemaker,KT,Family,Low,0.13
27,25-34,Female,Seoul,Two-Person,Student,SKB,Family,Medium,0.93
19,18-24,Male,Other Urban,Four-or-More,Service Industry,SKB,Family,Medium,0.2
22,18-24,Female,Other Urban,Single,Student,KT,Individual,High,0.88
31,25-34,Male,Seoul,Two-Person,Office Worker,SKB,Family,Medium,0.57
49,45-54,Female,Rural Areas,Single,Service Industry,SKB,Individual,Low,0.17
39,35-44,Male,Other Urban,Four-or-More,Office Worker,LG U+,Family,High,0.76
33,25-34,Female,Seoul,Two-Person,Retired/Unemployed,LG U+,Individual,Low,0.26
47,45-54,Male,Other Urban,Three-Person,Service Industry,SKB,Triple-Play,Medium,0.7
22,18-24,Male,Other Urban,Three-Person,Service Industry,Other,Triple-Play,Medium,0.69
30,25-34,Male,Other Urban,Three-Person,Office Worker,LG U+,Family,Medium,0.49
35,35-44,Female,Seoul,Two-Person,Professional/Managerial,KT,Individual,High,0.35
44,35-44,Female,Seoul,Single,Homemaker,KT,Individual,Low,0.26
59,55-64,Male,Other Urban,Two-Person,Service Industry,KT,Triple-Play,Low,0.37
22,18-24,Female,Other Urban,Four-or-More,Office Worker,KT,Family,High,0.65
53,45-54,Female,Other Urban,Three-Person,Service Industry,SKB,Family,Medium,0.16
50,45-54,Female,Rural Areas,Single,Retired/Unemployed,SKB,Individual,Low,0.14
12,5-12,Male,Rural Areas,Single,Student,LG U+,Individual,Low,0.43
54,45-54,Male,Rural Areas,Two-Person,Professional/Managerial,KT,Triple-Play,High,0.81
22,18-24,Female,Seoul,Three-Person,Student,SKB,Family,High,0.53
7,5-12,Female,Other Urban,Single,Student,SKB,Triple-Play,Low,0.25
87,65+,Female,Other Urban,Three-Person,Retired/Unemployed,Other,Triple-Play,Low,0.29
78,65+,Male,Other Urban,Four-or-More,Retired/Unemployed,KT,Triple-Play,Medium,0.46
61,55-64,Female,Other Urban,Two-Person,Retired/Unemployed,KT,Triple-Play,Low,0.35
34,25-34,Female,Rural Areas,Single,Service Industry,KT,Individual,Low,0.27
16,13-17,Male,Other Urban,Four-or-More,Student,SKB,Family,High,0.53
60,55-64,Male,Other Urban,Two-Person,Retired/Unemployed,SKB,Family,Low,0.12
41,35-44,Male,Other Urban,Two-Person,Office Worker,LG U+,Family,Medium,0.27
14,13-17,Male,Seoul,Single,Student,KT,Individual,Medium,0.36
53,45-54,Female,Other Urban,Two-Person,Office Worker,KT,Family,Medium,0.7
6,5-12,Male,Other Urban,Three-Person,Student,SKB,Family,Low,0.36
90,65+,Female,Other Urban,Two-Person,Retired/Unemployed,Other,Individual,Low,0.34
25,25-34,Male,Other Urban,Single,Office Worker,SKB,Individual,Medium,0.36
55,55-64,Female,Other Urban,Three-Person,Retired/Unemployed,LG U+,Triple-Play,Low,0.29
27,25-34,Male,Other Urban,Single,Office Worker,SKB,Triple-Play,Medium,0.11
47,45-54,Male,Rural Areas,Single,Service Industry,KT,Triple-Play,Low,0.33
45,45-54,Female,Other Urban,Three-Person,Office Worker,LG U+,Family,High,0.87
21,18-24,Male,Other Urban,Four-or-More,Student,KT,Family,High,0.57
71,65+,Female,Rural Areas,Single,Office Worker,KT,Individual,Low,0.7
58,55-64,Female,Other Urban,Single,Homemaker,KT,Individual,Medium,0.55
74,65+,Female,Other Urban,Three-Person,Retired/Unemployed,KT,Family,Low,0.06
